Category,All Firms (N=5872),US SBU (N=1009),UK DMP (N=1972),DE BOP-F (N=2289),AUS BOSS (N=602)
Large negative >5%,8,12,14,3,5
Small negative <5%,18,31,27,7,11
No impact,63,42,51,81,67
Small positive <5%,8,12,6,6,10
Large positive >5%,3,3,3,3,6
